,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
55,Krushiva Patel,Love to use this app. After recent update app got crashed but the best thing is if u report that issue they will quickly resolve. So have fun and enjoy the best music experience.,Rated 4 stars out of five stars,"April 1, 2020","{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.9802}",0.9802,Positive,0.5047619047619047,0.3785714285714285,Positive
56,Harsh Garg,"I love the app.... its really great and certainly my favorite. There is a bug that Id like you guys to fix... Every now and then while listening to my downloaded songs, when a song ends, the next song doesnt play automatically like its supposed to. There are other songs in the queue but it just ...\nFull Review",Rated 4 stars out of five stars,"March 16, 2020","{'neg': 0.024, 'neu': 0.772, 'pos': 0.203, 'compound': 0.8446}",0.8446,Positive,0.335,0.545,Positive
57,Tanushree Bhivgade,Missing songs that I want to listen. Lots of ads in between. Also unwanted songs of singers which ruins the mood. Unhappy!!,Rated 1 stars out of five stars,"April 9, 2020","{'neg': 0.375, 'neu': 0.578, 'pos': 0.047, 'compound': -0.8436}",-0.8436,Negative,-0.4291666666666667,0.3833333333333333,Negative
58,Aishwarya Veera,A Lovely app . I enjoyed the app very much \xf0\x9f\x98\x8a\xf0\x9f\x91\x8d. Its nice there is no other bad effects in the phone like hanging or heating its a positivity since the other apps are a bit problematic......I hope this is useful \xf0\x9f\x98\x89\xe2\x99\xa5\xef\xb8\x8f,Rated 5 stars out of five stars,"April 5, 2020","{'neg': 0.103, 'neu': 0.507, 'pos': 0.389, 'compound': 0.9413}",0.9413,Positive,0.17468750000000002,0.5158333333333334,Positive
59,Menal Javed,Its an amazing app has almost every song the only problem is that too download songs you have to pay for it otherwise I would highly recommend,Rated 4 stars out of five stars,"April 9, 2020","{'neg': 0.125, 'neu': 0.673, 'pos': 0.202, 'compound': 0.5413}",0.5413,Positive,0.2533333333333333,0.8133333333333334,Positive
60,Abhay,Few months ago i took paid subscription. Windows app sucks. Doesnt play at all. Gaana team informed me windows app is not supported. I wasted my money. Jiosaavn rocks on every platform. Goodbye Gaana,Rated 1 stars out of five stars,"April 9, 2020","{'neg': 0.175, 'neu': 0.754, 'pos': 0.071, 'compound': -0.4348}",-0.4348,Negative,-0.2333333333333333,0.13333333333333333,Negative
61,Ali Ijaz,I have been using this app for a long time and i dont know everytime i used to register or login it always says login failed try again later. Fix this please,Rated 3 stars out of five stars,"April 10, 2020","{'neg': 0.103, 'neu': 0.814, 'pos': 0.082, 'compound': -0.1717}",-0.1717,Negative,-0.18333333333333332,0.2333333333333333,Negative
62,Osama Rehan,i have even turn off the auto play song option but still facing the issue of auto play! just after listening half of the song it whether restarts the same song or switch on to the other song!!,Rated 1 stars out of five stars,"April 5, 2020","{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.6884}",0.6884,Positive,-0.1206597222222222,0.2222222222222222,Negative
63,Shalini Gupta,App is good. But now i seen a problem. After last update app did not play song smoothly. It stucks. Solve this problem.,Rated 4 stars out of five stars,"April 8, 2020","{'neg': 0.264, 'neu': 0.569, 'pos': 0.167, 'compound': -0.409}",-0.409,Negative,0.3666666666666667,0.3888888888888889,Positive
64,Karthikeyan S,Lot of Old tamil songs 80s and 90s are missing.I want all songs. Video screen is only in portrait mode.not in landscape. Equalizer also not. Otherwise ok.,Rated 1 stars out of five stars,"April 8, 2020","{'neg': 0.067, 'neu': 0.887, 'pos': 0.046, 'compound': -0.1501}",-0.1501,Negative,0.2,0.5666666666666667,Positive
65,Sumana Aich,"The app is very attractive and user friendly for everyone. The lyrics system is also well.But sometimes I can see that the songs lyrics are going faster than the original song for two lines. However, sometimes,I cant see the lyrics of my favourite songs.Still I am giving the app five stars as I lo...\nFull Review",Rated 5 stars out of five stars,"March 25, 2020","{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.8777}",0.8777,Positive,0.5833333333333334,0.75,Positive
66,digi4 t3ch,Gaana app is not working in slow internet always buffering a mp3 songs play.Which is very frustrating.Gaana app also consume so internet data that if you play continues 1 hour then it eat yours nearly a 600mb data.I like spotify more as compare 2 gaana app.,Rated 1 stars out of five stars,"April 6, 2020","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.5994}",0.5994,Positive,0.125,0.4,Positive
